Codigo;Nome;Numero;;;;;;
GH;GHANA AIRWAYS;?;;;;;;
9C;GILL AIRWAYS;?;;;;;;
Z5;GMG AIRLINES;169;;;;;;
G7;GOJET AIRLINES;?;;;;;;
G3;GOL;9;;;;;;
G3;GOL;127;;;;;;
G3;GOL APS;9;;;;;;
G3;GOL BNU;9;;;;;;
G3;GOL INTER APS;9;;;;;;
G3;GOL INTER CCM;9;;;;;;
G3;GOL INTER IGU;9;;;;;;
G3;GOL INTERNACIONAL;9;;;;;;
G3;GOL IOS;9;;;;;;
G3;GOL JPA;9;;;;;;
G3;GOL LINHAS AEREAS;9;;;;;;
G3;GOL MCZ;9;;;;;;
G3;GOL RIA;9;;;;;;
DC;GOLDEN AIR FLYG;169;;;;;;
GW;GOLDEN WEST AIRLINES;?;;;;;;
YD;GOMELAVIA;?;;;;;;
8G;GP EXPRESS AIRLINES INC.;?;;;;;;
QD;GRAND AIRWAYS INC.;?;;;;;;
8L;GRANDAIR;?;;;;;;
G9;GRANT AVIATION;?;;;;;;
MV;GREAT AMERICAN AIRWAYS;?;;;;;;
IF;GREAT CHINA AIRLINES;?;;;;;;
ZK;GREAT LAKES AVIATION;846;;;;;;
G2;GREENBRIER AIRLINES;?;;;;;;
GL;GREENLANDAIR INC.;?;;;;;;
ZG;Groznyy Avia;169;;;;;;
TWR;GRUPO TOWER TRAVEL;422;;;;;;
GTA;GTA;?;;;;;;
TD;GTI HAVA YOLLARI AIRLINES;?;;;;;;
G4;GUIZHOU AIRLINES;?;;;;;;
G8;GUJARAT AIRLINES;?;;;;;;
GF;GULF AIR;169;;;;;;
GY;GUYANA AIRWAYS;?;;;;;;
HR;HAHN AIR;169;;;;;;
H1;HAHN SYSTENS;169;;;;;;
HU;HAINAN AIRLINES;169;;;;;;
H4;HAINAN AIRLINES;?;;;;;;
7A;HAINES AIRWAYS;?;;;;;;
8F;HAITI NATIONAL AIRLINES (HANAIR);?;;;;;;
WD;HALISA AIR;?;;;;;;
4R;HAMBURG INTERNATIONAL;169;;;;;;
4H;HANNA'S AIR SALTSPRING;169;;;;;;
H3;HARBOUR AIR;?;;;;;;
HA;HAWAIIAN AIRLINES;169;;;;;;
ZL;HAZELTON AIRLINES;?;;;;;;
LE;HELGOLAND AIRLINES;?;;;;;;
YO;HELI-AIR-MONACO;?;;;;;;
ES;HELICUSCO;?;;;;;;
JB;HELIJET AIRWAYS;?;;;;;;
H9;HELISUL S/A LINHAS AEREAS(TAM EXPRESS);?;;;;;;
2L;Helvetic Airways;169;;;;;;
DU;HEMUS AIR;?;;;;;;
UD;HEX'AIR;?;;;;;;
HS;Héli-Sécurité Helicopter A;169;;;;;;
ZS;HISPANIOLA AIRWAYS;?;;;;;;
HJ;HOLMSTROEM FLYG AB;?;;;;;;
HX;HONG KONG AIRLINES;169;;;;;;
UO;HONG KONG EXPRESS AIRWAYS;169;;;;;;
QX;HORIZON AIR;481;;;;;;
RAH;HOTEL;998;;;;;;
HBE;HOTELBEDS;?;;;;;;
MR;HUNNU AIR;169;;;;;;
9K;HYANNIS AIR;?;;;;;;
IA;IATA BSP BRASIL;953;;;;;;
IA;IATA BSP BRASIL;956;;;;;;
IA;IATA BSP BRASIL;799;;;;;;
IB;IBERIA;75;;;;;;
IB;IBERIA (RIO);75;;;;;;
